0.014016748,0.036342551,0.020594753,0.018821664,0.001449913,0.001242651,0.000350355,0.000391578,0.074512306,0.164145753,0.000120456,3.46783E-05,0.215322913,0.035657178,0.206925956,0.016878592,0.009683149,0.013290191,0.002262794,0.083469192,0.08168643,0.069116229,0.00703308,0.009753723,0.001130449,0.211858414,0.008992813,0.556986441,0.000074594,0.000446107,0.083774902,0.007479303,0.249438856,0.003492083,0.000227978,0.001973355,0.043718202,0.000794897,0.000125879,0.099085195,0.02361841,0.0251378,0.006069219,0.000152339,0.073517837,0.019326999,0.000117763,0.050686262,0.000190559,0.009241293,0.05750837,0.011075308,0.000303538,0.000398862,0.024372526,0.000565623,0.215700228,9.36049E-05,0.001866517,0.000435297,0.003023906,0.027713555,2.98234E-05,1.00094E-05,3.68878E-06,0.000291908,0.000546387,0.041155782,8.49236E-05,0.000121162,0.000626381,0.004460171,0.003807755,0.001205735,0.138136723,0.013557298,2.82117E-05,0.009156697,0
0.012771877,3.27756E-05,0.020075248,0.014253664,0.001826303,0.000745336,0.000444258,0.000234279,0.056650516,0.151681955,0.000118772,0.000027719,0.019581362,0.030108298,0.217151603,0.028326046,0.006358444,0.047546118,0.003951438,0.070060105,0.068253961,0.060144132,0.092252718,0.010471022,0.003152048,0.16624001,0.006394837,0.460696017,5.72061E-05,0.000507227,0.094386656,0.007710727,0.026983162,0.000162259,0.000269785,0.000830992,0.000260167,0.000378123,0.00512949,0.051524266,0.028727967,0.031473998,0.052759373,0.000309571,0.065366037,0.024475621,0,0.043644995,0.00025592,0.021754133,0.052969292,0.055283358,0.000774037,0.031457837,0.315120816,0.000533102,0.629219393,0.002046285,0.001116675,0.000622002,0.002881743,0.023768313,8.42555E-06,6.23068E-06,0,0.000272477,0.000339702,0.036349564,0.000114533,7.32081E-05,0.000280606,0.010874151,0.000102348,0.000104132,0.098276298,0.002026965,3.57903E-05,0.010573087,0
0.012708301,3.97851E-05,0.004315507,0.019186599,0.015635111,0,0.005052356,0.000448881,0.08072907,0.208568933,0.002400655,0.000166149,0.01636621,0.030643597,0.071054191,0.07090143,0.005716414,0.055845652,0.027001511,0.070252219,0.067646143,0.059226649,0.004961716,0.009222396,0.0008109,0.174048447,0.006597953,0.038435443,0.00057515,0.00053104,0.070162406,0.048673158,0.267337602,0.000218412,0.000176497,0.000674967,0.003698464,0.027842027,0.000261836,0.317893705,0.000891601,0.000812734,0.040195628,0.000130279,0.093638365,0.009807288,5.46266E-05,0.016483601,0.00033637,2.72662E-06,0.013208375,3.64935E-05,0.000349191,6.36817E-06,1.69421E-05,0.073381655,1.95348E-05,0,1.68327E-05,0,2.21124E-05,0.017875834,0,0,0,2.79155E-05,0,0.086415639,9.73851E-05,0.000088214,0.000125354,0.034928386,0.003236483,8.74089E-05,0.015850208,0.000380694,0.00001843,0.00059555,0
0.007878789,5.51578E-06,0.018243558,0.012276421,0.017206079,0,0.000349679,0.004401083,0.050653662,0.113729152,5.76643E-05,0.000122592,0.190942049,0.020655941,0.012615638,0.011347938,0.000165818,0.047691209,0.015438844,0.007237686,0.047659377,0.005724057,0.055564584,0.022663574,0.000859793,0.09829366,0.000437687,0.02416931,3.03339E-05,0.000307862,0.047410004,0.2752188,0.150696703,9.05247E-05,0.00021593,0.001804533,0.000143967,0.000400563,0.000282161,0.033385158,0.013871262,0.013362376,0.005184284,2.97325E-05,0.052268238,0.014250176,0.000043897,0.058606404,8.10651E-05,0.01401172,0.005307237,0.822028585,0.055745024,0.122243599,0.168597743,0.000111603,0.111306821,0.000517812,9.61554E-05,0.001474502,0.000444393,0.027485046,0.000181614,0.000016375,0,0.002291605,0.006152523,0.148698938,0.000141299,0.002431352,0.001154638,0.001345854,0.000294775,0.000114047,0.653503916,0.000422365,1.82069E-05,0.01227195,0
0.0138402,6.76039E-06,0.004641229,0.01494137,0.019920803,0,0.000366302,0.00366795,0.070207721,0.182948176,0.000132942,0.000401771,0.239151768,0.038878433,0.027241128,0.013805297,0.010250091,0.080504007,0.041051658,0.116428751,0.11187478,0.094964529,0.120573715,0.026929383,0.000669557,0.207534072,0.008744533,0.049121908,4.73324E-05,0.000390274,0.083900627,0.060347755,0.199882816,0.00011115,0.011189416,0.001833553,0.000203836,0.015319061,0.011276674,0.488285793,0.01383229,0.013709985,0.012956595,0.000249152,0.066156373,0.009616608,0.000861941,0.052466775,9.68175E-05,2.74543E-05,0.00549476,0.026358813,0.000141937,8.35808E-05,0.003602641,4.74983E-05,0.001021842,2.84646E-05,4.93113E-06,4.25048E-05,0.000459086,0.026880441,3.11487E-05,0.000495304,0.000282191,0.023873071,0.000063876,0.07453688,7.57166E-05,0.004934836,0.000712021,0.001897801,0.000254248,9.04149E-05,0.308119455,0.00681619,1.38002E-05,0.02288998,0
0.008138568,7.30995E-06,0.016783725,0.009034064,0.010484012,0,0.000227246,0.00025433,0.03562615,0.04381599,5.19353E-05,0.000056867,0.214561629,0.021792582,0.010988264,0.011544777,0.001846835,0.104866669,0.014492857,0.049364805,0.045550146,0.039948424,0.042652608,0.0068843,0.001890191,0.178758495,0.006842058,0.046791848,2.97164E-05,0.000388932,0.040976114,0.027569986,0.204075826,0.00014124,0.000017408,0.000103095,0.010683739,0.011426369,2.02758E-06,0.100704416,0.000108354,0.000108956,0.000038857,2.19986E-05,0.000656021,0.028989083,5.78979E-05,0.059841228,0.000127252,6.41614E-05,0.038808222,0.159871078,0.000136185,0.000087864,0.013836091,0.000555723,0.04727786,0,2.40515E-05,7.51899E-05,1.03718E-05,0.035200286,2.42325E-05,0,0,8.75684E-05,0.000193994,0.069284484,0.000062861,0.000110431,0.00119826,0.000868995,0.004518259,0.000104492,0.015811264,1.17876E-05,1.20588E-05,2.72762E-05,0
0.010785505,8.40775E-06,0.022492462,0.015239152,0.0169729,0.00006062,0.003377707,0.004205997,0.053779504,0.162682061,6.91279E-05,0.000201536,0.202884849,0.030117489,0.01834669,0.013526575,0.005724546,0.011433507,0.002716164,0.084534036,0.078917217,0.068080357,0.004928601,0.007913226,0.004118868,0.146830152,0.005592812,0.03633547,7.18862E-05,0.00047446,0.05097764,0.036373209,0.207046255,0.000138809,0.018547659,0.002482311,0.00014046,0.001264428,0.024012957,0.139221316,0.000689774,0.000713667,0.207917063,8.37217E-05,0.056108375,0.012781546,5.08198E-05,0.059187858,0.000273062,1.27936E-05,0.000172785,2.80799E-05,9.00409E-05,0,1.59657E-05,0.000284748,1.62832E-05,1.70928E-05,0,0,1.28297E-05,0.033253921,1.81025E-05,0,0,1.19679E-05,0,1.78654E-05,3.76958E-05,0.000179025,0.000706868,1.08574E-05,0.005223236,0.000109787,2.36824E-05,1.04569E-05,2.97977E-05,0.00012793,0
0.013859973,1.84204E-05,0.021612297,0.015273022,0.010269133,0,0.000478951,0.000509417,0.055617557,0.151925335,7.71763E-05,0.000413951,0.242649118,0.03536712,0.023773958,0.027639462,0.00518476,0.011153359,0.001497826,0.05685604,0.053414326,0.046828355,0.003922252,0.009984082,0.000200849,0.154380439,0.005726184,0.042284919,7.60259E-05,0.000629486,0.063752347,0.045711415,0.216128966,0.000135604,9.13042E-05,0.001112279,0.000174243,0.014850789,0.000335802,0.366757161,0.001092549,0.000921982,0.037443939,0.000088877,0.036468909,0.010022868,0.00024464,0.050082858,0.000307133,1.26274E-05,0.009984493,1.00077E-05,9.21973E-05,0,8.93453E-06,0.000151843,7.32219E-06,0,2.76892E-05,0,7.20048E-06,0.029582672,0,0,0,1.28268E-05,0,2.26416E-05,5.63962E-05,0.00008335,0.000389824,9.39782E-06,0.008107231,0.000119147,3.29842E-05,1.11922E-05,1.60745E-05,0.000217713,0
0.015402059,2.34641E-05,0.011329021,0.014090015,0.020693801,4.32484E-06,0.00796075,0.000317469,0.056822847,0.133167338,6.32593E-05,0.00040638,0.01482765,0.039631301,0.06636851,0.002460945,0.008745609,0.048811536,0.00191953,0.063635688,0.059343401,0.048445523,0.076365729,0.010772632,0.000974646,0.137303377,0.005389093,0.036664206,6.35607E-05,0.000588521,0.057980696,0.318558785,0.199385334,0.000218776,7.74446E-05,0.000900225,0.000285962,0.000252582,7.90521E-05,0.015153624,0.000284885,0.000344914,0.010636822,8.89664E-05,0.014612864,0.010752436,1.42971E-05,0.020325047,0.000216168,0,0.000223397,1.01056E-05,6.50409E-05,0,5.91613E-06,0.000160181,1.01384E-05,0,0,1.12446E-05,8.81628E-06,0.022937653,0,0,0,9.90658E-06,0,1.87836E-05,4.57278E-05,0.000140381,0.00046891,1.54073E-05,0.007306121,0.00012279,2.94849E-05,7.87996E-06,1.52392E-05,0.000156323,0
0.011758487,1.39676E-05,0.016206626,0.014283695,0.017073838,4.57733E-05,0.000366704,0.000302061,0.027205726,0.128630496,4.06576E-05,0.000138361,0.126266572,0.030937,0.0224247,0.010559086,0.002423106,0.045946972,0.002231267,0.076074998,0.071681959,0.062943318,0.057135861,0.007599144,0.000347918,0.112942271,0.004326507,0.030271147,2.28421E-05,0.000544889,0.054205854,0.040788594,0.174987461,0.000096198,7.40078E-05,0.002298762,0.000798145,0.000673407,0.000188667,0.081072106,0.000364018,0.000320616,0.005391164,0.000105217,0.012471015,0.021580288,9.33533E-05,0.062681291,0.000136974,1.16407E-05,0.068092344,3.48419E-05,0.000138237,0,1.56469E-05,0.000273991,2.40434E-05,0,0,0,2.11876E-05,0.033676907,0.000037006,0,4.00354E-06,1.88994E-05,0,0,2.99327E-05,4.17662E-05,0.001142378,2.40485E-05,0.009581273,0.000122669,4.21176E-05,9.93028E-06,1.59468E-05,0.000120781,0
